Label;Denomination;Content;Rock type / Mineral;Location;Producer;Comments;Links
SGD-1A;SGD-1A Gabbro essexitice JGJ;Gabbro;Gabbro;;;Roth Nr. 2586;
SGD-2;SGD-2 Gabbro essexitice JGJ;Gabbro;Gabbro;;;Roth Nr. 2586;
SH;;;Tonschiefer;KTB;;;
SLg-1;SLg-1A Black Shale Ore;Shale;Black Shale;;;Roth Nr. 2586;
Sn-1;Tin ore;;;;;;
SO-1;Reference Soil SO-1;Soil;Soil;Ottawa;Geological Survey of Canada;Roth Nr. 2568;
SO-2 ;Reference Soil SO-2;Soil;Soil;Ottawa;Geological Survey of Canada;;
SO-3;Reference Soil SO-3;Soil;Soil;Ottawa;Geological Survey of Canada;;
SO-4;Reference Soil SO-4;Soil;Soil;Ottawa;Geological Survey of Canada;;
SSK1.1;;;;;;;
SSV-1;SSV-1 Syenit Sviatonossite JGJ;Syenite;Syenite;;;Roth Nr. 2586;
St 253-1;Bes 290;;;;;;
St 532-1;;;;;;;
STB1;Hausstandard;;;;;Rodnummer 2586;
STB2;Hausstandard;;;;;;
STM-1;peralkaline nepheline syenite;Syenite;Nepheline Syenite;Table Mountain, OR;United States Geological Survey;;https://geostandards.lanl.gov/AllAnalytes/All-USGS-STM-1_1.html
SU-1;C.A.A.S Ni-Cu-Co-ore;;Sulphide;;;;
SU-1;Ni-Cu-Co-ore SU-1;;Sulphide # I;;;;
SU-1a;Nickel-Copper-Cobalt ORE, SU-1a;;;Ottawa;Geological Survey of Canada;;
SW;;;Serpentinit;DDR;;Rodnummer2586;
SW;Standardprobe Serpentinit;;Serpentinit;;Zent. Geo. Ins. Berlin ;Abgelaufen 2003    50g;
SY-2;Syenite Rock SY-2;Syenite;Syenite;Ottawa;Geological Survey of Canada;;
SY-3;REE U,Th;Syenite;Syenite;;;Roth Nr.2586;
SY-3;Syenite Rock SY-3;Syenite;Syenite;Ottawa;Geological Survey of Canada;;
TB;Standardgsteinsprobe Tonschiefer;;Tonschiefer;DDR;Zent. Geo. Ins. Berlin ;Abgelaufen 1994    50g;
TDB-1;;Diabase;Diabase;;;Roth Nr.2586;
TILL-1;Reference Till Sample Till-1;Soil;Soil;Joe Lake, Ontario, CAN;Geological Survey of Canada;Roth Nr. 2586;ftp://ftp.nrcan.gc.ca/ess/geochem/files/publications/pub_0857/geostds_v20no2.pdf
TILL-2;Reference Till Sample Till-2;;Till;5 km West Scisson's Brook, New Brunswick, CAN;Geological Survey of Canada;Roth Nr. 2586;ftp://ftp.nrcan.gc.ca/ess/geochem/files/publications/pub_0857/geostds_v20no2.pdf
TILL-3;Reference Till Sample Till-3;Soil;Soil;O'Brien Mine, near Cobalt, Ontario, CAN;Geological Survey of Canada;;ftp://ftp.nrcan.gc.ca/ess/geochem/files/publications/pub_0857/geostds_v20no2.pdf
TILL-4;Reference Till Sample Till-4;;Till;Scisson's Brook, New Brunswick, CAN;Geological Survey of Canada;;ftp://ftp.nrcan.gc.ca/ess/geochem/files/publications/pub_0857/geostds_v20no2.pdf
TO;;;Tonalit;KTB;;Nr.2586;
TS;;;Schwarzschiefer;DDR;;Rodnummer2586;
TS;Standardprobe Schwarzschiefer TS;;Schwarzschiefer;;Zent. Geo. Ins. Berlin ;Abgelaufen 2000    50g;
TW;;;;Gö;;;
TW 46 ;TW 46 Fl.A 9 GÖ;;;;;;
UB-N;;Serpentine;Serpentine;Col des Bagenelles (Vosges), FRA ;Association Nationale de la Recherche Technique;15.5 g;http://www.geostandards.lanl.gov/AllAnalytes/All-UB-N_1.html
UM-2;Ultramafic-Rock UM-2;;Ultramafic Rock;Ottawa;Geological Survey of Canada;;
UM-4;Ultramafic Rock UM-4;;Ultramafic Rock;Ottawa;Geological Survey of Canada;Roth Nr.2586;
UMT1;UMT1 Ultramafic Rock;;Ultramafic Rock;;;Roth Nr. 2586;
VS-N;Etalontraces VS-N;Synthetic Silico-aluminous Glass;Synthetic Silico-aluminous Glass;SOVIREL (now Corning), FRA ;Association Nationale de la Recherche Technique;Vers. Synthetique;http://www.geostandards.lanl.gov/AllAnalytes/All-VS-N_1.html
W-1;;Basalt;Standart Basalt B1;;;;
W-1;Bull Run Quarry;Diabase;Diabase;near Centerville, VA;United States Geological Survey;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-W-1_1.html
W-2;Bull Run Quarry;Diabase;Diabase;near Centerville, VA;United States Geological Survey;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-W-2_1.html
W-2 (M);;;;;;10.252 g;
WGB-1;WGB-1 Gabbro;Gabbro;Gabbro;;;Roth Nr. 2586;
WMG-1;WMG-1 Gabbro;Gabbro;Gabbro;;;Roth Nr. 2586;
WMS-1;WMS-1 Sulfide Ore;;Sulfide Ore;;Geological Survey of Canada;Roth Nr. 2586;
WPR-1;;Peridotite;Peridotite;;;;
WS-E;Dolerite WS-E  GiT-IWG 1993;Basalt;Dolerite (Basalt);Great Whin Sill, Northern England, GBR;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Split 4/56    Roth Nr. 2586;https://www.geostandards.lanl.gov/AllAnalytes/All-WS-E_1.html
ZW-C;;Zinnwaldite;Zinnwaldite;Cinovec (Zinnwald), CZE;"Groupe International de Travail ""Etalons analytiques des mineraux, minerais et roches""";Roth Nr. 2586;http://www.geostandards.lanl.gov/AllAnalytes/All-ZW-C_1.html
78/17/4;;;;Iran;;;
78/27/2;;;;;;~ 3g S;
