Label;Denomination;Content;Rock type / Mineral;Location;Producer;Comments;Links
EOP;;;;;;;
EURO 876-1;Elektroofenstaub;;;;;;
EURO 877-1;Furnace Dust;;;;;;
F;G 212/86;;Dazit;;;;
FK-N;;Feldspar;Potash Feldspar;Madras (now Tamil Nadu), IND;Association Nationale de la Recherche Technique;~10g;http://www.geostandards.lanl.gov/AllAnalytes/All-FK-N_1.html
FK-N;ANRT;Feldspar;Potash Feldspar;Madras (now Tamil Nadu), IND;Association Nationale de la Recherche Technique;Geostandards B.P.20, 54501 Vandoeuvre Cedex France 14g;http://www.geostandards.lanl.gov/AllAnalytes/All-FK-N_1.html
G-1;Smith Granite Company;Granite;Granite;Westerly, RI;United States Geological Survey;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-G-1_1.html
G-2;Westerley Granite;Granite;Granite;Bradford, RI;United States Geological Survey;Split 104 Positon 15;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-G-2_1.html
GA;;Granite;Granite;Andlau, Bas-Rhin, FRA ;Centre de Recherches Petrographiques et Geochimiques;Rothnummer 2586;http://www.geostandards.lanl.gov/AllAnalytes/All-GA_1.html
GD;;;;Gö;;;
GF-1;Standardprobe ;;Galenit;;;Ampullenprobe Nr.4;
GH;GIT-IWG;Granite;Granite;Massif du Tauorirt Tan Afella, Hoggar, DZA;Centre de Recherches Petrographiques et Geochimiques;Geostandards B.P.20, 54501 Vandoeuvre Cedex France;http://www.geostandards.lanl.gov/AllAnalytes/All-GH_1.html
GH;Granite GH;Granite;Granite;Massif du Tauorirt Tan Afella, Hoggar, DZA;Centre de Recherches Petrographiques et Geochimiques;;http://www.geostandards.lanl.gov/AllAnalytes/All-GH_1.html
GM;;Granite;Granite;DDR;;;
GM;Standardgesteinsprobe Granit;Granite;Granite;;Zent. Geo. Ins. Berlin ;Abgelaufen 1994    50g;
GO;;Gabbro;Gabbro;KTB;;;
GP-3;USGS;Synthetic Silico-aluminous Glass;Glas, silikatisches;;United States Geological Survey;"Ringprobe mit 2 Körnern.1 davon zerkleinert, Schliff für EPMA/LA ICP MS; EPMA 3 mm-Röhrchen Nr. 44";
GSD-11;IGGE IRMA;Aquatic Sediment;Drainage Sediment;China;;Geochemical Standard Reference Sampel;
GSD-11;Stream-sediment;Aquatic Sediment;Stream Sediment;;;;
GSD-12;IGGE IRMA;Aquatic Sediment;Drainage Sediment;China;;Geochemical Standard Reference Sampel;
GSD-12;Stream-sediment;Aquatic Sediment;Stream Sediment;;;Roth Nr.2586;
GSD-6;IGGE IRMA;Aquatic Sediment;Drainage Sediment;China 1980;;Geochemical Standard Reference Sampel;
GSD-7;IGGE IRMA;Aquatic Sediment;Drainage Sediment;China 1980;;Geochemical Standard Reference Sampel;
GS-N;;Granite;Granite;Senones (Vosges), FRA ;Association Nationale de la Recherche Technique;~5g;http://www.geostandards.lanl.gov/AllAnalytes/All-GS-N_1.html
GSP-1;;Granodiorite;Granodiorite;Silver Plume Quarry, CO;United States Geological Survey;Split 51 Position 21 ;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GSP-1_1.html
GSR-1;;Granite;Biotite granite;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;Roth Nr.2586  10 g;
GSR-2;;Andesite;Andesite;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;Roth Nr.2586  2,2 g 6.3.93;
GSR-3;;Basalt;Basalt;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;Roth Nr. 2586;
GSR-4;;;Sandstone;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;9 g;
GSR-5;Shale;Shale;Shale;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;8 g;
GSR-6;IGGE IRMA;Limestone;Limestone;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;Geochemical Standard Reference Sampel;
GSR-6;;Limestone;Limestone;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;Roth Nr.2586;
GSS-1;IGGE IRMA;Soil;Soil;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;Geochemical Standard Reference Sampel;
GSS-2;IGGE IRMA;Soil;Soil;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;Geochemical Standard Reference Sampel;
GSS-5;IGGE IRMA;Soil;Soil;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;Geochemical Standard Reference Sampel;
GSS-6;Soil;Soil;Soil;CHN;Institute of Geophysical and Geochemical Exploration of the People's Republic of China;Geochemical Standard Reference Sampel;
GT;;;;KTB;;;
GW;;;Grauwacke;KTB;;;
GXR-1;;Jasperoid;Jasperoid;Drum Mountains, UT;United States Geological Survey;significant variations between bottles;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-1_1.html
GXR-2;;Soil;Soil;Park City, UT;United States Geological Survey;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-2_1.html
GXR-3;;Hot Springs;Hot Springs Deposit;Humboldt County, NV;United States Geological Survey;;http://www.geostandards.lanl.gov/AllAnalytes/All-USGS-GXR-3_1.html
